run,Run Title,Alternative,NPV,IRR,AVE_IRI
1,T3Run1 Project Analysis,Upgrade,16917048,50.31000137,3.819999933
2,T3Run1 Project Analysis,Regravelling,15684053,-9999.990234,7.099999905
3,T3Run2 Project Analysis,Upgrade,16283774,48.95999908,3.769999981
4,T3Run2 Project Analysis,Regravelling,14626226,-9999.990234,7
5,T3Run3 Project Analysis,Upgrade,17399098,51.54999924,3.849999905
6,T3Run3 Project Analysis,Regravelling,15919815,-9999.990234,7.150000095
7,T3Run4 Project Analysis,Upgrade,16798812,50.36000061,3.789999962
8,T3Run4 Project Analysis,Regravelling,15609284,-9999.990234,6.699999809
9,T3Run5 Project Analysis,Upgrade,17360448,52.04000092,3.789999962
10,T3Run5 Project Analysis,Regravelling,13935837,795.4400024,6.699999809
11,T3Run6 Project Analysis,Upgrade,19772858,58.02000046,3.950000048
12,T3Run6 Project Analysis,Regravelling,15807283,-9999.990234,6.940000057
13,T3Run7 Project Analysis,Upgrade,22839322,66.23999786,3.99000001
14,T3Run7 Project Analysis,Regravelling,14147052,730.75,6.659999847
15,T3Run8 Project Analysis,Upgrade,52001564,131.8099976,4.269999981
16,T3Run8 Project Analysis,Regravelling,40443776,-9999.990234,7.880000114
17,T3Run9 Project Analysis,Upgrade,50377232,128.5399933,4.199999809
18,T3Run9 Project Analysis,Regravelling,42604580,-9999.990234,7.269999981
19,T3Run10 Project Analysis,Upgrade,53032080,133.9400024,4.309999943
20,T3Run10 Project Analysis,Regravelling,45963688,-9999.990234,7.449999809
21,T3Run11 Project Analysis,Upgrade,51726332,133.8800049,4.21999979
22,T3Run11 Project Analysis,Regravelling,41930252,-9999.990234,7.309999943
23,T3Run12 Project Analysis,Upgrade,52745380,136.4100037,4.21999979
24,T3Run12 Project Analysis,Regravelling,41814244,-9999.990234,6.920000076
25,T3Run13 Project Analysis,Upgrade,58389872,148.6900024,4.46999979
26,T3Run13 Project Analysis,Regravelling,46793312,-9999.990234,7.199999809
27,T3Run14 Project Analysis,Upgrade,64816264,165.9400024,4.519999981
28,T3Run14 Project Analysis,Regravelling,39441376,-9999.990234,7.260000229
29,T3Run15 Project Analysis,Upgrade,275168032,703.5300293,5.570000172
30,T3Run15 Project Analysis,Regravelling,235638752,-9999.990234,9.210000038
31,T3Run16 Project Analysis,Upgrade,266911472,682.9500122,5.420000076
32,T3Run16 Project Analysis,Regravelling,222388864,-9999.990234,8.989999771
33,T3Run17 Project Analysis,Upgrade,280350336,716.4500122,5.650000095
34,T3Run17 Project Analysis,Regravelling,238748144,-9999.990234,9.329999924
35,T3Run18 Project Analysis,Upgrade,272067296,697.6099854,5.480000019
36,T3Run18 Project Analysis,Regravelling,246061936,-9999.990234,8.550000191
37,T3Run19 Project Analysis,Upgrade,276695648,709.2199707,5.46999979
38,T3Run19 Project Analysis,Regravelling,227400384,-9999.990234,8.529999733
39,T3Run20 Project Analysis,Upgrade,304815040,779.8200073,5.949999809
40,T3Run20 Project Analysis,Regravelling,248416944,-9999.990234,9.140000343
41,T3Run21 Project Analysis,Upgrade,332417216,849.2999878,6.059999943
42,T3Run21 Project Analysis,Regravelling,236468624,-9999.990234,8.770000458
43,T3Run22 Project Analysis,Upgrade,16917048,50.31000137,3.819999933
44,T3Run22 Project Analysis,Regravelling,15684053,-9999.990234,7.099999905
45,T3Run23 Project Analysis,Upgrade,16283774,48.95999908,3.769999981
46,T3Run23 Project Analysis,Regravelling,14626226,-9999.990234,7
47,T3Run25 Project Analysis,Upgrade,16798812,50.36000061,3.789999962
48,T3Run25 Project Analysis,Regravelling,15609284,-9999.990234,6.699999809
49,T3Run26 Project Analysis,Upgrade,17360448,52.04000092,3.789999962
50,T3Run26 Project Analysis,Regravelling,13935837,795.4400024,6.699999809
51,T3Run27 Project Analysis,Upgrade,19772858,58.02000046,3.950000048
52,T3Run27 Project Analysis,Regravelling,15807283,-9999.990234,6.940000057
