Run,Run Title,Alternative,NPV,IRR,AVE_IRI
1,T4Run1 Project Analysis,Overlay,10456282,29.27000046,2.650000095
2,T4Run2 Project Analysis,Overlay,10973940,30.02000046,2.660000086
3,T4Run3 Project Analysis,Overlay,10687080,29.65999985,2.660000086
4,T4Run4 Project Analysis,Overlay,11294680,30.63999939,2.660000086
5,T4Run5 Project Analysis,Overlay,10525387,29.65999985,2.660000086
6,T4Run6 Project Analysis,Overlay,9388785,28.60000038,2.660000086
7,T4Run7 Project Analysis,Overlay,7210962,25.71999931,2.660000086
8,T4Run8 Project Analysis,Overlay,85154848,79.52999878,2.579999924
9,T4Run9 Project Analysis,Overlay,87256288,81.48999786,2.589999914
10,T4Run10 Project Analysis,Overlay,86039184,80.63999939,2.589999914
11,T4Run11 Project Analysis,Overlay,88140032,83.20999908,2.589999914
12,T4Run12 Project Analysis,Overlay,83615856,80.75,2.589999914
13,T4Run13 Project Analysis,Overlay,77340208,79.51000214,2.589999914
14,T4Run14 Project Analysis,Overlay,65488796,73.80000305,2.599999905
15,T4Run15 Project Analysis,Overlay,204946400,104.0800018,2.609999895
16,T4Run16 Project Analysis,Overlay,208323888,106.4300003,2.609999895
17,T4Run17 Project Analysis,Overlay,206387008,105.3399963,2.609999895
18,T4Run18 Project Analysis,Overlay,208412464,108.1200027,2.619999886
19,T4Run19 Project Analysis,Overlay,196323168,104.2699966,2.630000114
20,T4Run20 Project Analysis,Overlay,182730128,103.1900024,2.630000114
21,T4Run21 Project Analysis,Overlay,154769504,95.73999786,2.640000105
22,T4Run22 Project Analysis,Overlay,11610356,30.63999939,2.660000086
23,T4Run23 Project Analysis,Overlay,12137512,31.42000008,2.660000086
24,T4Run24 Project Analysis,Overlay,11841380,31.02000046,2.660000086
25,T4Run25 Project Analysis,Overlay,12446640,32.00999832,2.660000086
26,T4Run26 Project Analysis,Overlay,11611980,31,2.660000086
27,T4Run27 Project Analysis,Overlay,10383930,29.90999985,2.660000086
28,T4Run28 Project Analysis,Overlay,8041444,26.95000076,2.660000086
29,T4Run29 Project Analysis,Overlay,95552952,91.38999939,2.650000095
