Run,Run Title,Alternative,NPV,IRR,AVE_IRI
1,T4Run1 Project Analysis,Reseal,2844795,16.27000046,4.179999828
2,T4Run2 Project Analysis,Reseal,3009920.5,16.51000023,4.190000057
3,T4Run3 Project Analysis,Reseal,2857973.5,16.30999947,4.190000057
4,T4Run4 Project Analysis,Reseal,2968200.25,16.52000046,4.190000057
5,T4Run5 Project Analysis,Reseal,2627229.75,16.10000038,4.190000057
6,T4Run6 Project Analysis,Reseal,1580096.13,14.67000008,4.190000057
7,T4Run7 Project Analysis,Reseal,351763,12.68000031,4.190000057
8,T4Run8 Project Analysis,Reseal,61384476,44.04999924,3.890000105
9,T4Run9 Project Analysis,Reseal,62459252,44.52999878,3.890000105
10,T4Run10 Project Analysis,Reseal,61634540,44.34000015,3.890000105
11,T4Run11 Project Analysis,Reseal,62352568,45.00999832,3.890000105
12,T4Run12 Project Analysis,Reseal,59242096,44.75999832,3.890000105
13,T4Run13 Project Analysis,Reseal,53210504,43.58000183,3.890000105
14,T4Run14 Project Analysis,Reseal,44265100,41.91999817,3.890000105
15,T4Run15 Project Analysis,Reseal,145445344,47.06000137,3.910000086
16,T4Run16 Project Analysis,Reseal,146331216,47.15999985,3.910000086
17,T4Run17 Project Analysis,Reseal,145297792,47.15999985,3.910000086
18,T4Run18 Project Analysis,Reseal,143989168,47.29999924,3.910000086
19,T4Run19 Project Analysis,Reseal,135312544,47.40999985,3.910000086
20,T4Run20 Project Analysis,Reseal,122475328,46.20000076,3.910000086
21,T4Run21 Project Analysis,Reseal,101489496,45.36999893,3.910000086
22,T4Run22 Project Analysis,Reseal,4223414.5,18.02000046,4.150000095
23,T4Run23 Project Analysis,Reseal,4410772,18.29000092,4.150000095
24,T4Run24 Project Analysis,Reseal,4244464.5,18.07999992,4.150000095
25,T4Run25 Project Analysis,Reseal,4372039.5,18.32999992,4.150000095
26,T4Run26 Project Analysis,Reseal,3955871,17.88999939,4.150000095
27,T4Run27 Project Analysis,Reseal,2810204.75,16.51000023,4.150000095
28,T4Run28 Project Analysis,Reseal,1388710.38,14.5,4.150000095
29,T4Run29 Project Analysis,Reseal,65292004,43.86000061,4.159999847
30,T4Run30 Project Analysis,Reseal,66133356,44.29000092,4.159999847
31,T4Run31 Project Analysis,Reseal,65362960,44.09999847,4.159999847
32,T4Run32 Project Analysis,Reseal,65575352,44.72000122,4.159999847
33,T4Run33 Project Analysis,Reseal,61998636,44.5,4.159999847
34,T4Run34 Project Analysis,Reseal,55470144,43.15999985,4.159999847
35,T4Run35 Project Analysis,Reseal,45809732,41.5,4.159999847
36,T4Run36 Project Analysis,Reseal,167484928,45.29999924,4.570000172
37,T4Run37 Project Analysis,Reseal,166931616,45.24000168,4.570000172
38,T4Run38 Project Analysis,Reseal,166445664,45.25999832,4.570000172
39,T4Run39 Project Analysis,Reseal,161890976,45.11000061,4.570000172
40,T4Run40 Project Analysis,Reseal,150476688,45.13999939,4.570000172
41,T4Run41 Project Analysis,Reseal,135613568,43.75,4.570000172
42,T4Run42 Project Analysis,Reseal,110597360,42.75999832,4.570000172
43,T4Run43 Project Analysis,Reseal,34251516,30.81999969,6.579999924
44,T4Run44 Project Analysis,Reseal,33957120,31.04999924,6.579999924
45,T4Run45 Project Analysis,Reseal,33953808,30.86000061,6.579999924
46,T4Run46 Project Analysis,Reseal,32518270,30.97999954,6.579999924
47,T4Run47 Project Analysis,Reseal,29266696,30.20000076,6.579999924
48,T4Run48 Project Analysis,Reseal,25531468,28.56999969,6.579999924
49,T4Run49 Project Analysis,Reseal,18829248,25.87999916,6.579999924
50,T4Run50 Project Analysis,Reseal,367242688,86.05000305,7.019999981
51,T4Run51 Project Analysis,Reseal,361775200,86.93000031,7.019999981
52,T4Run52 Project Analysis,Reseal,364516160,86.43000031,7.019999981
53,T4Run53 Project Analysis,Reseal,347097952,87.48999786,7.019999981
54,T4Run54 Project Analysis,Reseal,314050688,86.22000122,7.019999981
55,T4Run55 Project Analysis,Reseal,290042784,83.08999634,7.019999981
56,T4Run56 Project Analysis,Reseal,232128384,78.29000092,7.019999981
57,T4Run57 Project Analysis,Reseal,1006541056,135.9600067,6.630000114
58,T4Run58 Project Analysis,Reseal,993769728,138.8000031,6.630000114
59,T4Run59 Project Analysis,Reseal,999775168,137.8099976,6.630000114
60,T4Run60 Project Analysis,Reseal,955674944,142.3600006,6.630000114
61,T4Run61 Project Analysis,Reseal,869295808,141.2599945,6.630000114
62,T4Run62 Project Analysis,Reseal,803710656,136.9100037,6.630000114
63,T4Run63 Project Analysis,Reseal,648262656,130.5399933,6.630000114
64,T4Run64 Project Analysis,Reseal,65523008,54.11000061,9.020000458
65,T4Run65 Project Analysis,Reseal,64023176,54.18000031,9.020000458
66,T4Run66 Project Analysis,Reseal,64826788,53.79000092,9.020000458
67,T4Run67 Project Analysis,Reseal,60583068,53.13999939,9.020000458
68,T4Run68 Project Analysis,Reseal,53510408,51.63000107,9.020000458
69,T4Run69 Project Analysis,Reseal,48795192,47.66999817,9.020000458
70,T4Run70 Project Analysis,Reseal,36877756,42.63000107,9.020000458
71,T4Run71 Project Analysis,Reseal,466910016,277.9299927,10.18999958
72,T4Run72 Project Analysis,Reseal,456759744,281.5899963,10.18999958
73,T4Run73 Project Analysis,Reseal,462877376,275.9200134,10.18999958
74,T4Run74 Project Analysis,Reseal,434836416,277.0100098,10.18999958
75,T4Run75 Project Analysis,Reseal,387901120,271.7099915,10.19999981
76,T4Run76 Project Analysis,Reseal,362534880,243.0800018,10.18999958
77,T4Run77 Project Analysis,Reseal,287865696,217.4100037,10.19999981
78,T4Run78 Project Analysis,Reseal,1417354368,-9999.990234,11.81999969
79,T4Run79 Project Analysis,Reseal,1383242240,-9999.990234,11.81999969
80,T4Run80 Project Analysis,Reseal,1405813632,-9999.990234,11.81999969
81,T4Run81 Project Analysis,Reseal,1315187840,-9999.990234,11.81999969
82,T4Run82 Project Analysis,Reseal,1170426880,-9999.990234,11.81999969
83,T4Run83 Project Analysis,Reseal,1101679232,-9999.990234,11.81999969
84,T4Run84 Project Analysis,Reseal,875662528,-9999.990234,11.81999969
85,T4Run85 Project Analysis,Reseal,49151412,63.40999985,11.82999992
86,T4Run86 Project Analysis,Reseal,47618480,62.47000122,11.82999992
87,T4Run87 Project Analysis,Reseal,48688232,62.86000061,11.82999992
88,T4Run88 Project Analysis,Reseal,44729080,60.29000092,11.82999992
89,T4Run89 Project Analysis,Reseal,38226040,56.95999908,11.82999992
90,T4Run90 Project Analysis,Reseal,35770676,52.83000183,11.82999992
91,T4Run91 Project Analysis,Reseal,25965410,44.97999954,11.82999992
92,T4Run92 Project Analysis,Reseal,310557696,250.25,12.55000019
93,T4Run93 Project Analysis,Reseal,302286560,246.8399963,12.55000019
94,T4Run94 Project Analysis,Reseal,308299840,247.6300049,12.55000019
95,T4Run95 Project Analysis,Reseal,287007008,237.5500031,12.55000019
96,T4Run96 Project Analysis,Reseal,251420384,227.6300049,12.55000019
97,T4Run97 Project Analysis,Reseal,240025152,206.25,12.55000019
98,T4Run98 Project Analysis,Reseal,188638352,178.6799927,12.55000019
99,T4Run99 Project Analysis,Reseal,804373632,-9999.990234,13.39999962
100,T4Run100 Project Analysis,Reseal,782831744,-9999.990234,13.39999962
101,T4Run101 Project Analysis,Reseal,798976704,-9999.990234,13.39999962
102,T4Run102 Project Analysis,Reseal,743392640,882.0100098,13.39999962
103,T4Run103 Project Analysis,Reseal,652639488,835.4000244,13.39999962
104,T4Run104 Project Analysis,Reseal,626684864,746.0700073,13.39999962
105,T4Run105 Project Analysis,Reseal,495062016,620.8400269,13.39999962
106,T4Run106 Project Analysis,Reseal,7041198,20.54999924,4.210000038
107,T4Run107 Project Analysis,Reseal,7202043,20.73999977,4.210000038
108,T4Run108 Project Analysis,Reseal,7032989,20.57999992,4.210000038
109,T4Run109 Project Analysis,Reseal,7058425.5,20.71999931,4.210000038
110,T4Run110 Project Analysis,Reseal,6444687,20.25,4.210000038
111,T4Run111 Project Analysis,Reseal,5058548,18.92000008,4.210000038
112,T4Run112 Project Analysis,Reseal,3201418.75,16.90999985,4.210000038
113,T4Run113 Project Analysis,Reseal,99863888,51.66999817,3.910000086
114,T4Run114 Project Analysis,Reseal,100828128,52.15000153,3.910000086
115,T4Run115 Project Analysis,Reseal,100016400,51.95999908,3.910000086
116,T4Run116 Project Analysis,Reseal,99840728,52.66999817,3.910000086
117,T4Run117 Project Analysis,Reseal,93802448,52.31999969,3.910000086
118,T4Run118 Project Analysis,Reseal,85183016,51.08000183,3.910000086
119,T4Run119 Project Analysis,Reseal,70624488,49.22999954,3.910000086
120,T4Run120 Project Analysis,Reseal,207394384,51.33000183,3.930000067
121,T4Run121 Project Analysis,Reseal,207756720,51.36999893,3.930000067
122,T4Run122 Project Analysis,Reseal,206909376,51.40000153,3.930000067
