Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
1 ,T6Run1 Project Analysis,Overlay,4816610,23.42000008,2.710000038,2
2 ,T6Run2 Project Analysis,Overlay,5361009.5,24.48999977,2.710000038,4
3 ,T6Run3 Project Analysis,Overlay,5100034,23.98999977,2.710000038,6
4 ,T6Run4 Project Analysis,Overlay,5874602,25.48999977,2.710000038,8
5 ,T6Run5 Project Analysis,Overlay,5350985.5,24.35000038,2.710000038,10
6 ,T6Run6 Project Analysis,Overlay,4895641,23.72999954,2.710000038,12
7 ,T6Run7 Project Analysis,Overlay,3449114,20.65999985,2.710000038,14
8 ,T6Run8 Project Analysis,Overlay,63380180,75.86000061,2.700000048,16
9 ,T6Run9 Project Analysis,Overlay,65656992,78.33999634,2.700000048,18
10 ,T6Run10 Project Analysis,Overlay,64408148,77.15000153,2.700000048,20
11 ,T6Run11 Project Analysis,Overlay,67369672,80.62000275,2.710000038,22
12 ,T6Run12 Project Analysis,Overlay,64446072,77.66000366,2.720000029,24
13 ,T6Run13 Project Analysis,Overlay,60304944,77.26000214,2.720000029,26
14 ,T6Run14 Project Analysis,Overlay,51532712,70.66000366,2.74000001,28
15 ,T6Run15 Project Analysis,Overlay,252378720,194.7799988,2.819999933,30
16 ,T6Run16 Project Analysis,Overlay,258943136,204.2400055,2.829999924,32
17 ,T6Run17 Project Analysis,Overlay,255459776,199.8200073,2.829999924,34
18 ,T6Run18 Project Analysis,Overlay,263710640,215.1499939,2.849999905,36
19 ,T6Run19 Project Analysis,Overlay,252186080,209.4600067,2.880000114,38
20 ,T6Run20 Project Analysis,Overlay,237208704,210.9499969,2.890000105,40
21 ,T6Run21 Project Analysis,Overlay,204735632,194.8200073,2.920000076,42
22 ,T6Run22 Project Analysis,Overlay,5053266.5,23.79000092,2.710000038,44
23 ,T6Run23 Project Analysis,Overlay,5602168.5,24.85000038,2.710000038,46
24 ,T6Run24 Project Analysis,Overlay,5336098,24.37000084,2.710000038,48
25 ,T6Run25 Project Analysis,Overlay,6113247.5,25.82999992,2.710000038,50
26 ,T6Run26 Project Analysis,Overlay,5581655.5,24.70000076,2.720000029,52
27 ,T6Run27 Project Analysis,Overlay,5095918,24.04000092,2.720000029,54
28 ,T6Run28 Project Analysis,Overlay,3619035.25,20.95999908,2.720000029,56
29 ,T6Run29 Project Analysis,Overlay,68293312,81.29000092,2.720000029,58
30 ,T6Run30 Project Analysis,Overlay,70591424,83.97000122,2.720000029,60
31 ,T6Run31 Project Analysis,Overlay,69327248,82.73000336,2.720000029,62
32 ,T6Run32 Project Analysis,Overlay,72219632,86.48000336,2.730000019,64
33 ,T6Run33 Project Analysis,Overlay,68941592,83.16000366,2.74000001,66
34 ,T6Run34 Project Analysis,Overlay,64460128,82.75,2.74000001,68
35 ,T6Run35 Project Analysis,Overlay,54938300,75.37999725,2.75999999,70
36 ,T6Run36 Project Analysis,Overlay,274693952,218.1799927,2.859999895,72
37 ,T6Run37 Project Analysis,Overlay,281147520,228.4100037,2.869999886,74
38 ,T6Run38 Project Analysis,Overlay,277708064,223.8800049,2.859999895,76
39 ,T6Run39 Project Analysis,Overlay,284960640,240.0899963,2.880000114,78
40 ,T6Run40 Project Analysis,Overlay,271297408,232.7400055,2.910000086,80
41 ,T6Run41 Project Analysis,Overlay,254649184,233.8200073,2.910000086,82
42 ,T6Run42 Project Analysis,Overlay,218619408,214.1399994,2.950000048,84
43 ,T6Run43 Project Analysis,Overlay,39662448,46.43000031,3.150000095,86
44 ,T6Run44 Project Analysis,Overlay,40924388,48.09999847,3.150000095,87
45 ,T6Run45 Project Analysis,Overlay,40218900,47.40999985,3.150000095,90
46 ,T6Run46 Project Analysis,Overlay,41563304,49.90000153,3.150000095,92
47 ,T6Run47 Project Analysis,Overlay,38955848,48.34999847,3.150000095,94
48 ,T6Run48 Project Analysis,Overlay,35485328,46.88000107,3.150000095,96
49 ,T6Run49 Project Analysis,Overlay,28685430,42.20000076,3.160000086,98
50 ,T6Run50 Project Analysis,Overlay,260684640,168.5700073,3.279999971,100
51 ,T6Run51 Project Analysis,Overlay,264872592,176.4799957,3.279999971,102
52 ,T6Run52 Project Analysis,Overlay,262428496,173.6100006,3.279999971,104
53 ,T6Run53 Project Analysis,Overlay,264948304,185.6999969,3.279999971,106
54 ,T6Run54 Project Analysis,Overlay,249103920,178.9499969,3.289999962,108
55 ,T6Run55 Project Analysis,Overlay,230742144,175.4400024,3.289999962,110
56 ,T6Run56 Project Analysis,Overlay,193723104,157.1799927,3.299999952,112
57 ,T6Run57 Project Analysis,Overlay,977053184,452.0499878,3.430000067,114
58 ,T6Run58 Project Analysis,Overlay,981805824,475.2600098,3.430000067,116
59 ,T6Run59 Project Analysis,Overlay,978857472,466.7600098,3.430000067,118
60 ,T6Run60 Project Analysis,Overlay,968018944,503.3599854,3.440000057,120
61 ,T6Run61 Project Analysis,Overlay,899768576,486.8500061,3.460000038,122
62 ,T6Run62 Project Analysis,Overlay,835588864,475.1600037,3.460000038,124
