Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
1 ,T6Run1 Project Analysis,Reseal,-5378735.5,-14.61999989,4.630000114,1
2 ,T6Run2 Project Analysis,Reseal,-5322082,-14.22000027,4.630000114,3
3 ,T6Run3 Project Analysis,Reseal,-5374773.5,-15,4.630000114,5
4 ,T6Run4 Project Analysis,Reseal,-5314400,-15.06999969,4.630000114,7
5 ,T6Run5 Project Analysis,Reseal,-5395472,-16.21999931,4.630000114,9
6 ,T6Run6 Project Analysis,Reseal,-5545442,-23.23999977,4.630000114,11
7 ,T6Run7 Project Analysis,Reseal,-5804419.5,-35.59999847,4.639999866,13
8 ,T6Run8 Project Analysis,Reseal,27990022,33.65999985,4.460000038,15
9 ,T6Run9 Project Analysis,Reseal,28570842,34.25999832,4.460000038,17
10 ,T6Run10 Project Analysis,Reseal,27992466,33.83000183,4.460000038,19
11 ,T6Run11 Project Analysis,Reseal,28394770,34.61999893,4.46999979,21
12 ,T6Run12 Project Analysis,Reseal,26809314,33.79999924,4.480000019,23
13 ,T6Run13 Project Analysis,Reseal,23619636,32.77000046,4.480000019,25
14 ,T6Run14 Project Analysis,Reseal,18579840,29.97999954,4.489999771,27
15 ,T6Run15 Project Analysis,Reseal,156134432,65.06999969,4.670000076,29
16 ,T6Run16 Project Analysis,Reseal,157743024,67.05000305,4.679999828,31
17 ,T6Run17 Project Analysis,Reseal,156243776,65.87999725,4.679999828,33
18 ,T6Run18 Project Analysis,Reseal,156527744,69,4.710000038,35
19 ,T6Run19 Project Analysis,Reseal,147163216,67.43000031,4.739999771,37
20 ,T6Run20 Project Analysis,Reseal,135418288,67.12999725,4.75,39
21 ,T6Run21 Project Analysis,Reseal,111560144,62.15999985,4.800000191,41
22 ,T6Run22 Project Analysis,Reseal,-5164642.5,-10.81000042,4.639999866,43
23 ,T6Run23 Project Analysis,Reseal,-5104369,-10.43999958,4.639999866,45
24 ,T6Run24 Project Analysis,Reseal,-5161707,-11.07999992,4.639999866,47
25 ,T6Run25 Project Analysis,Reseal,-5100017.5,-11.10000038,4.639999866,49
26 ,T6Run26 Project Analysis,Reseal,-5188736,-12.07999992,4.639999866,51
27 ,T6Run27 Project Analysis,Reseal,-5366539.5,-17.25,4.639999866,53
28 ,T6Run28 Project Analysis,Reseal,-5653404.5,-26.14999962,4.639999866,55
29 ,T6Run29 Project Analysis,Reseal,33633288,37.93999863,4.460000038,57
30 ,T6Run30 Project Analysis,Reseal,34268600,38.68999863,4.460000038,59
31 ,T6Run31 Project Analysis,Reseal,33658268,38.22000122,4.460000038,61
32 ,T6Run32 Project Analysis,Reseal,34043256,39.18000031,4.460000038,63
33 ,T6Run33 Project Analysis,Reseal,32076664,38.15999985,4.46999979,65
34 ,T6Run34 Project Analysis,Reseal,28546220,37.20000076,4.46999979,67
35 ,T6Run35 Project Analysis,Reseal,22693266,34.02999878,4.489999771,69
36 ,T6Run36 Project Analysis,Reseal,181487680,85.19000244,4.679999828,71
37 ,T6Run37 Project Analysis,Reseal,183155136,88.19999695,4.690000057,73
38 ,T6Run38 Project Analysis,Reseal,181628016,86.58000183,4.690000057,75
