Run,Run Title,Alternative,NPV,IRR,AVE_IRI
1,T7Run1 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.840000153
2,T7Run2 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.840000153
3,T7Run3 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.840000153
4,T7Run4 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.840000153
5,T7Run5 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.840000153
6,T7Run6 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.849999905
7,T7Run7 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.849999905
8,T7Run8 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.53000021
9,T7Run9 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.539999962
10,T7Run10 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.53000021
11,T7Run11 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.550000191
12,T7Run12 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.570000172
13,T7Run13 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.579999924
14,T7Run14 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.610000134
15,T7Run15 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.440000057
16,T7Run16 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.46999979
17,T7Run17 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.460000038
18,T7Run18 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.510000229
19,T7Run19 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.570000172
20,T7Run20 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.590000153
21,T7Run21 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.670000076
22,T7Run22 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.869999886
23,T7Run23 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.869999886
24,T7Run24 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.869999886
25,T7Run25 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.880000114
26,T7Run26 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.880000114
27,T7Run27 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.880000114
28,T7Run28 Project Analysis,Minimum Maintenance (B),0,-9999.990234,4.880000114
29,T7Run29 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.670000076
30,T7Run30 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828
31,T7Run31 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.670000076
32,T7Run32 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057
33,T7Run33 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.710000038
34,T7Run34 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.710000038
35,T7Run35 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.739999771
