RunNo,Run,TrafficGrowth,Condition,TrafficVolume,Geometry
1,T3Run1,1,0,0,0
2,T3Run2,1,0,0,1
3,T3Run3,1,0,0,2
4,T3Run4,1,0,0,3
5,T3Run5,1,0,0,4
6,T3Run6,1,0,0,5
7,T3Run7,1,0,0,6
8,T3Run8,1,0,1,0
9,T3Run9,1,0,1,1
10,T3Run10,1,0,1,2
11,T3Run11,1,0,1,3
12,T3Run12,1,0,1,4
13,T3Run13,1,0,1,5
14,T3Run14,1,0,1,6
15,T3Run15,1,0,2,0
16,T3Run16,1,0,2,1
17,T3Run17,1,0,2,2
18,T3Run18,1,0,2,3
19,T3Run19,1,0,2,4
20,T3Run20,1,0,2,5
21,T3Run21,1,0,2,6
22,T3Run22,1,1,0,0
23,T3Run23,1,1,0,1
24,T3Run24,1,1,0,2
25,T3Run25,1,1,0,3
26,T3Run26,1,1,0,4
27,T3Run27,1,1,0,5
28,T3Run28,1,1,0,6
29,T3Run29,1,1,1,0
30,T3Run30,1,1,1,1
31,T3Run31,1,1,1,2
32,T3Run32,1,1,1,3
33,T3Run33,1,1,1,4
34,T3Run34,1,1,1,5
35,T3Run35,1,1,1,6
36,T3Run36,1,1,2,0
37,T3Run37,1,1,2,1
38,T3Run38,1,1,2,2
39,T3Run39,1,1,2,3
40,T3Run40,1,1,2,4
41,T3Run41,1,1,2,5
42,T3Run42,1,1,2,6
43,T3Run43,1,2,0,0
44,T3Run44,1,2,0,1
45,T3Run45,1,2,0,2
46,T3Run46,1,2,0,3
47,T3Run47,1,2,0,4
48,T3Run48,1,2,0,5
49,T3Run49,1,2,0,6
50,T3Run50,1,2,1,0
51,T3Run51,1,2,1,1
52,T3Run52,1,2,1,2
53,T3Run53,1,2,1,3
54,T3Run54,1,2,1,4
55,T3Run55,1,2,1,5
56,T3Run56,1,2,1,6
57,T3Run57,1,2,2,0
58,T3Run58,1,2,2,1
59,T3Run59,1,2,2,2
60,T3Run60,1,2,2,3
61,T3Run61,1,2,2,4
62,T3Run62,1,2,2,5
63,T3Run63,1,2,2,6
64,T3Run64,1,3,0,0
65,T3Run65,1,3,0,1
66,T3Run66,1,3,0,2
67,T3Run67,1,3,0,3
68,T3Run68,1,3,0,4
69,T3Run69,1,3,0,5
70,T3Run70,1,3,0,6
71,T3Run71,1,3,1,0
72,T3Run72,1,3,1,1
73,T3Run73,1,3,1,2
74,T3Run74,1,3,1,3
75,T3Run75,1,3,1,4
76,T3Run76,1,3,1,5
77,T3Run77,1,3,1,6
78,T3Run78,1,3,2,0
79,T3Run79,1,3,2,1
80,T3Run80,1,3,2,2
81,T3Run81,1,3,2,3
82,T3Run82,1,3,2,4
83,T3Run83,1,3,2,5
84,T3Run84,1,3,2,6
85,T3Run85,1,4,0,0
86,T3Run86,1,4,0,1
87,T3Run87,1,4,0,2
88,T3Run88,1,4,0,3
89,T3Run89,1,4,0,4
90,T3Run90,1,4,0,5
91,T3Run91,1,4,0,6
92,T3Run92,1,4,1,0
93,T3Run93,1,4,1,1
94,T3Run94,1,4,1,2
95,T3Run95,1,4,1,3
96,T3Run96,1,4,1,4
97,T3Run97,1,4,1,5
98,T3Run98,1,4,1,6
99,T3Run99,1,4,2,0
100,T3Run100,1,4,2,1
101,T3Run101,1,4,2,2
102,T3Run102,1,4,2,3
103,T3Run103,1,4,2,4
104,T3Run104,1,4,2,5
105,T3Run105,1,4,2,6
106,T3Run106,2,0,0,0
107,T3Run107,2,0,0,1
108,T3Run108,2,0,0,2
109,T3Run109,2,0,0,3
110,T3Run110,2,0,0,4
111,T3Run111,2,0,0,5
112,T3Run112,2,0,0,6
113,T3Run113,2,0,1,0
114,T3Run114,2,0,1,1
115,T3Run115,2,0,1,2
116,T3Run116,2,0,1,3
117,T3Run117,2,0,1,4
118,T3Run118,2,0,1,5
119,T3Run119,2,0,1,6
120,T3Run120,2,0,2,0
121,T3Run121,2,0,2,1
122,T3Run122,2,0,2,2
123,T3Run123,2,0,2,3
124,T3Run124,2,0,2,4
125,T3Run125,2,0,2,5
126,T3Run126,2,0,2,6
127,T3Run127,2,1,0,0
128,T3Run128,2,1,0,1
129,T3Run129,2,1,0,2
130,T3Run130,2,1,0,3
131,T3Run131,2,1,0,4
132,T3Run132,2,1,0,5
133,T3Run133,2,1,0,6
134,T3Run134,2,1,1,0
135,T3Run135,2,1,1,1
136,T3Run136,2,1,1,2
137,T3Run137,2,1,1,3
138,T3Run138,2,1,1,4
139,T3Run139,2,1,1,5
140,T3Run140,2,1,1,6
141,T3Run141,2,1,2,0
142,T3Run142,2,1,2,1
143,T3Run143,2,1,2,2
144,T3Run144,2,1,2,3
145,T3Run145,2,1,2,4
146,T3Run146,2,1,2,5
147,T3Run147,2,1,2,6
148,T3Run148,2,2,0,0
149,T3Run149,2,2,0,1
150,T3Run150,2,2,0,2
151,T3Run151,2,2,0,3
152,T3Run152,2,2,0,4
153,T3Run153,2,2,0,5
154,T3Run154,2,2,0,6
155,T3Run155,2,2,1,0
156,T3Run156,2,2,1,1
157,T3Run157,2,2,1,2
158,T3Run158,2,2,1,3
159,T3Run159,2,2,1,4
160,T3Run160,2,2,1,5
161,T3Run161,2,2,1,6
162,T3Run162,2,2,2,0
163,T3Run163,2,2,2,1
164,T3Run164,2,2,2,2
165,T3Run165,2,2,2,3
166,T3Run166,2,2,2,4
167,T3Run167,2,2,2,5
168,T3Run168,2,2,2,6
169,T3Run169,2,3,0,0
170,T3Run170,2,3,0,1
171,T3Run171,2,3,0,2
172,T3Run172,2,3,0,3
173,T3Run173,2,3,0,4
174,T3Run174,2,3,0,5
175,T3Run175,2,3,0,6
176,T3Run176,2,3,1,0
177,T3Run177,2,3,1,1
178,T3Run178,2,3,1,2
179,T3Run179,2,3,1,3
180,T3Run180,2,3,1,4
181,T3Run181,2,3,1,5
182,T3Run182,2,3,1,6
183,T3Run183,2,3,2,0
184,T3Run184,2,3,2,1
185,T3Run185,2,3,2,2
186,T3Run186,2,3,2,3
187,T3Run187,2,3,2,4
188,T3Run188,2,3,2,5
189,T3Run189,2,3,2,6
190,T3Run190,2,4,0,0
191,T3Run191,2,4,0,1
192,T3Run192,2,4,0,2
193,T3Run193,2,4,0,3
194,T3Run194,2,4,0,4
195,T3Run195,2,4,0,5
196,T3Run196,2,4,0,6
197,T3Run197,2,4,1,0
198,T3Run198,2,4,1,1
199,T3Run199,2,4,1,2
200,T3Run200,2,4,1,3
201,T3Run201,2,4,1,4
202,T3Run202,2,4,1,5
203,T3Run203,2,4,1,6
204,T3Run204,2,4,2,0
205,T3Run205,2,4,2,1
206,T3Run206,2,4,2,2
207,T3Run207,2,4,2,3
208,T3Run208,2,4,2,4
209,T3Run209,2,4,2,5
210,T3Run210,2,4,2,6
211,T3Run211,3,0,0,0
212,T3Run212,3,0,0,1
213,T3Run213,3,0,0,2
214,T3Run214,3,0,0,3
215,T3Run215,3,0,0,4
216,T3Run216,3,0,0,5
217,T3Run217,3,0,0,6
218,T3Run218,3,0,1,0
219,T3Run219,3,0,1,1
220,T3Run220,3,0,1,2
221,T3Run221,3,0,1,3
222,T3Run222,3,0,1,4
223,T3Run223,3,0,1,5
224,T3Run224,3,0,1,6
225,T3Run225,3,0,2,0
226,T3Run226,3,0,2,1
227,T3Run227,3,0,2,2
228,T3Run228,3,0,2,3
229,T3Run229,3,0,2,4
230,T3Run230,3,0,2,5
231,T3Run231,3,0,2,6
232,T3Run232,3,1,0,0
233,T3Run233,3,1,0,1
234,T3Run234,3,1,0,2
235,T3Run235,3,1,0,3
236,T3Run236,3,1,0,4
237,T3Run237,3,1,0,5
238,T3Run238,3,1,0,6
239,T3Run239,3,1,1,0
240,T3Run240,3,1,1,1
241,T3Run241,3,1,1,2
242,T3Run242,3,1,1,3
243,T3Run243,3,1,1,4
244,T3Run244,3,1,1,5
245,T3Run245,3,1,1,6
246,T3Run246,3,1,2,0
247,T3Run247,3,1,2,1
248,T3Run248,3,1,2,2
249,T3Run249,3,1,2,3
250,T3Run250,3,1,2,4
251,T3Run251,3,1,2,5
