Run Title,Alternative,NPV,IRR,AVE_IRI
T3Run1 Project Analysis,Upgrade,16917048,50.31000137,3.819999933
T3Run2 Project Analysis,Upgrade,16283774,48.95999908,3.769999981
T3Run3 Project Analysis,Upgrade,17399098,51.54999924,3.849999905
T3Run4 Project Analysis,Upgrade,16798812,50.36000061,3.789999962
T3Run5 Project Analysis,Upgrade,17360448,52.04000092,3.789999962
T3Run6 Project Analysis,Upgrade,19772858,58.02000046,3.950000048
T3Run7 Project Analysis,Upgrade,22839322,66.23999786,3.99000001
T3Run8 Project Analysis,Upgrade,52001564,131.8099976,4.269999981
T3Run9 Project Analysis,Upgrade,50377232,128.5399933,4.199999809
T3Run10 Project Analysis,Upgrade,53032080,133.9400024,4.309999943
T3Run11 Project Analysis,Upgrade,51726332,133.8800049,4.21999979
T3Run12 Project Analysis,Upgrade,52745380,136.4100037,4.21999979
T3Run13 Project Analysis,Upgrade,58389872,148.6900024,4.46999979
T3Run14 Project Analysis,Upgrade,64816264,165.9400024,4.519999981
T3Run15 Project Analysis,Upgrade,275168032,703.5300293,5.570000172
T3Run16 Project Analysis,Upgrade,266911472,682.9500122,5.420000076
T3Run17 Project Analysis,Upgrade,280350336,716.4500122,5.650000095
T3Run18 Project Analysis,Upgrade,272067296,697.6099854,5.480000019
T3Run19 Project Analysis,Upgrade,276695648,709.2199707,5.46999979
T3Run20 Project Analysis,Upgrade,304815040,779.8200073,5.949999809
T3Run21 Project Analysis,Upgrade,332417216,849.2999878,6.059999943
T3Run22 Project Analysis,Upgrade,16917048,50.31000137,3.819999933
T3Run23 Project Analysis,Upgrade,16283774,48.95999908,3.769999981
T3Run24 Project Analysis,Upgrade,17399098,51.54999924,3.849999905
T3Run25 Project Analysis,Upgrade,16798812,50.36000061,3.789999962
T3Run26 Project Analysis,Upgrade,17360448,52.04000092,3.789999962
T3Run27 Project Analysis,Upgrade,19772858,58.02000046,3.950000048
T3Run28 Project Analysis,Upgrade,22839322,66.23999786,3.99000001
T3Run29 Project Analysis,Upgrade,52001564,131.8099976,4.269999981
T3Run30 Project Analysis,Upgrade,50377232,128.5399933,4.199999809
T3Run31 Project Analysis,Upgrade,53032080,133.9400024,4.309999943
T3Run32 Project Analysis,Upgrade,51726332,133.8800049,4.21999979
T3Run33 Project Analysis,Upgrade,52745380,136.4100037,4.21999979
T3Run34 Project Analysis,Upgrade,58389872,148.6900024,4.46999979
T3Run35 Project Analysis,Upgrade,64816264,165.9400024,4.519999981
T3Run36 Project Analysis,Upgrade,275168032,703.5300293,5.570000172
T3Run37 Project Analysis,Upgrade,266911472,682.9500122,5.420000076
T3Run38 Project Analysis,Upgrade,280350336,716.4500122,5.650000095
T3Run39 Project Analysis,Upgrade,272067296,697.6099854,5.480000019
T3Run40 Project Analysis,Upgrade,276695648,709.2199707,5.46999979
T3Run41 Project Analysis,Upgrade,304815040,779.8200073,5.949999809
T3Run42 Project Analysis,Upgrade,332417216,849.2999878,6.059999943
T3Run43 Project Analysis,Upgrade,18620210,57.91999817,4.71999979
T3Run44 Project Analysis,Upgrade,17947856,56.40000153,4.639999866
T3Run45 Project Analysis,Upgrade,19043326,58.86000061,4.769999981
T3Run46 Project Analysis,Upgrade,18387556,57.45999908,4.670000076
T3Run47 Project Analysis,Upgrade,18843048,58.59999847,4.670000076
T3Run48 Project Analysis,Upgrade,21088016,63.5,4.940000057
T3Run49 Project Analysis,Upgrade,23933344,70.87000275,5.010000229
T3Run50 Project Analysis,Upgrade,53840384,144.2100067,5.269999981
T3Run51 Project Analysis,Upgrade,52143040,140.3500061,5.150000095
T3Run52 Project Analysis,Upgrade,54915408,146.6900024,5.340000153
T3Run53 Project Analysis,Upgrade,53226656,143.0200043,5.199999809
T3Run54 Project Analysis,Upgrade,54242912,145.5700073,5.190000057
T3Run55 Project Analysis,Upgrade,60029348,158.7599945,5.579999924
T3Run56 Project Analysis,Upgrade,66253668,174.9799957,5.670000076
T3Run57 Project Analysis,Upgrade,275142880,708.4099731,6.5
T3Run58 Project Analysis,Upgrade,266877600,687.710022,6.309999943
T3Run59 Project Analysis,Upgrade,280329856,721.4099731,6.599999905
T3Run60 Project Analysis,Upgrade,271884448,700.3900146,6.380000114
T3Run61 Project Analysis,Upgrade,276512160,712,6.369999886
T3Run62 Project Analysis,Upgrade,304614560,782.4000244,6.989999771
T3Run63 Project Analysis,Upgrade,332194144,851.5800171,7.130000114
T3Run64 Project Analysis,Upgrade,19235782,59.13000107,4.980000019
T3Run65 Project Analysis,Upgrade,18562636,57.68999863,4.900000095
T3Run66 Project Analysis,Upgrade,19665382,60.06000137,5.03000021
T3Run67 Project Analysis,Upgrade,18995946,58.68000031,4.929999828
T3Run68 Project Analysis,Upgrade,19435710,59.77000046,4.920000076
T3Run69 Project Analysis,Upgrade,21719656,64.61000061,5.199999809
T3Run70 Project Analysis,Upgrade,24509804,71.84999847,5.269999981
T3Run71 Project Analysis,Upgrade,54762656,145.75,5.460000038
T3Run72 Project Analysis,Upgrade,53034284,141.8800049,5.340000153
T3Run73 Project Analysis,Upgrade,55854380,148.2299957,5.53000021
T3Run74 Project Analysis,Upgrade,54097540,144.3800049,5.380000114
T3Run75 Project Analysis,Upgrade,55111864,146.9199982,5.380000114
T3Run76 Project Analysis,Upgrade,61000540,160.1300049,5.760000229
T3Run77 Project Analysis,Upgrade,67161056,176.1699982,5.849999905
T3Run78 Project Analysis,Upgrade,276879392,708.6300049,6.480000019
T3Run79 Project Analysis,Upgrade,268548928,687.9199829,6.289999962
T3Run80 Project Analysis,Upgrade,282101344,721.6199951,6.579999924
T3Run81 Project Analysis,Upgrade,273569344,700.4799805,6.369999886
T3Run82 Project Analysis,Upgrade,278193120,712.0900269,6.360000134
T3Run83 Project Analysis,Upgrade,306508704,782.4899902,6.96999979
T3Run84 Project Analysis,Upgrade,333997600,851.6599731,7.110000134
T3Run85 Project Analysis,Upgrade,18161286,57.36999893,5.28000021
T3Run86 Project Analysis,Upgrade,17597884,56.15000153,5.190000057
T3Run87 Project Analysis,Upgrade,18532768,58.18000031,5.320000172
T3Run88 Project Analysis,Upgrade,17992588,57.06000137,5.21999979
T3Run89 Project Analysis,Upgrade,18440862,58.18999863,5.21999979
T3Run90 Project Analysis,Upgrade,20369824,62.29000092,5.5
T3Run91 Project Analysis,Upgrade,23498944,70.26999664,5.559999943
T3Run92 Project Analysis,Upgrade,51549256,139.3300018,5.690000057
T3Run93 Project Analysis,Upgrade,50094564,136.0700073,5.570000172
T3Run94 Project Analysis,Upgrade,52494268,141.4900055,5.75
T3Run95 Project Analysis,Upgrade,51061872,138.3500061,5.610000134
T3Run96 Project Analysis,Upgrade,52093144,140.9400024,5.599999905
T3Run97 Project Analysis,Upgrade,57087092,152.1900024,5.989999771
T3Run98 Project Analysis,Upgrade,64190504,170.3899994,6.079999924
T3Run99 Project Analysis,Upgrade,260594192,668.3699951,6.570000172
T3Run100 Project Analysis,Upgrade,253575696,650.9199829,6.380000114
T3Run101 Project Analysis,Upgrade,265112384,679.6199951,6.679999828
T3Run102 Project Analysis,Upgrade,258132720,662.2999878,6.449999809
T3Run103 Project Analysis,Upgrade,262837664,674.0999756,6.440000057
T3Run104 Project Analysis,Upgrade,286859648,733.8400269,7.059999943
T3Run105 Project Analysis,Upgrade,319119040,815.0499878,7.199999809
T3Run106 Project Analysis,Upgrade,19626246,54.08000183,3.829999924
T3Run107 Project Analysis,Upgrade,18918662,52.66999817,3.779999971
T3Run108 Project Analysis,Upgrade,20155068,55.38000107,3.859999895
T3Run109 Project Analysis,Upgrade,19481930,54.11999893,3.799999952
T3Run110 Project Analysis,Upgrade,20096010,55.90999985,3.799999952
T3Run111 Project Analysis,Upgrade,22775404,62.20999908,3.960000038
T3Run112 Project Analysis,Upgrade,26130974,70.76999664,4
T3Run113 Project Analysis,Upgrade,58543764,139.9499969,4.289999962
T3Run114 Project Analysis,Upgrade,56728504,136.4900055,4.210000038
T3Run115 Project Analysis,Upgrade,59695040,142.1999969,4.329999924
T3Run116 Project Analysis,Upgrade,58216632,142.2299957,4.239999771
T3Run117 Project Analysis,Upgrade,59344720,144.8800049,4.230000019
T3Run118 Project Analysis,Upgrade,65646948,157.8699951,4.480000019
T3Run119 Project Analysis,Upgrade,72725968,175.9499969,4.539999962
T3Run120 Project Analysis,Upgrade,305374400,740.789978,5.590000153
T3Run121 Project Analysis,Upgrade,296224128,719.1400146,5.449999809
T3Run122 Project Analysis,Upgrade,311117408,754.3800049,5.670000076
T3Run123 Project Analysis,Upgrade,301923904,734.5499878,5.5
T3Run124 Project Analysis,Upgrade,307051904,746.75,5.489999771
T3Run125 Project Analysis,Upgrade,338208512,820.9799805,5.980000019
T3Run126 Project Analysis,Upgrade,368786080,893.9500122,6.090000153
T3Run127 Project Analysis,Upgrade,19626246,54.08000183,3.829999924
T3Run128 Project Analysis,Upgrade,18918662,52.66999817,3.779999971
T3Run129 Project Analysis,Upgrade,20155068,55.38000107,3.859999895
