NPV,IRR
16917048,50.31000137
0,-9999.990234
16283774,48.95999908
0,-9999.990234
17399098,51.54999924
0,-9999.990234
16798812,50.36000061
0,-9999.990234
17360448,52.04000092
0,-9999.990234
19772858,58.02000046
0,-9999.990234
22839322,66.23999786
0,-9999.990234
52001564,131.8099976
0,-9999.990234
50377232,128.5399933
0,-9999.990234
53032080,133.9400024
0,-9999.990234
51726332,133.8800049
0,-9999.990234
52745380,136.4100037
0,-9999.990234
58389872,148.6900024
0,-9999.990234
64816264,165.9400024
0,-9999.990234
275168032,703.5300293
0,-9999.990234
266911472,682.9500122
0,-9999.990234
280350336,716.4500122
0,-9999.990234
272067296,697.6099854
0,-9999.990234
276695648,709.2199707
0,-9999.990234
304815040,779.8200073
0,-9999.990234
332417216,849.2999878
0,-9999.990234
16917048,50.31000137
0,-9999.990234
16283774,48.95999908
0,-9999.990234
17399098,51.54999924
0,-9999.990234
16798812,50.36000061
0,-9999.990234
17360448,52.04000092
0,-9999.990234
19772858,58.02000046
0,-9999.990234
22839322,66.23999786
0,-9999.990234
52001564,131.8099976
0,-9999.990234
50377232,128.5399933
0,-9999.990234
53032080,133.9400024
0,-9999.990234
51726332,133.8800049
0,-9999.990234
52745380,136.4100037
0,-9999.990234
58389872,148.6900024
0,-9999.990234
64816264,165.9400024
0,-9999.990234
275168032,703.5300293
0,-9999.990234
266911472,682.9500122
0,-9999.990234
280350336,716.4500122
0,-9999.990234
272067296,697.6099854
0,-9999.990234
276695648,709.2199707
0,-9999.990234
304815040,779.8200073
0,-9999.990234
332417216,849.2999878
0,-9999.990234
18620210,57.91999817
0,-9999.990234
17947856,56.40000153
0,-9999.990234
19043326,58.86000061
0,-9999.990234
18387556,57.45999908
0,-9999.990234
18843048,58.59999847
0,-9999.990234
21088016,63.5
0,-9999.990234
23933344,70.87000275
0,-9999.990234
53840384,144.2100067
0,-9999.990234
52143040,140.3500061
0,-9999.990234
54915408,146.6900024
0,-9999.990234
53226656,143.0200043
0,-9999.990234
54242912,145.5700073
0,-9999.990234
60029348,158.7599945
0,-9999.990234
66253668,174.9799957
0,-9999.990234
275142880,708.4099731
0,-9999.990234
266877600,687.710022
0,-9999.990234
280329856,721.4099731
0,-9999.990234
271884448,700.3900146
0,-9999.990234
276512160,712
0,-9999.990234
304614560,782.4000244
0,-9999.990234
332194144,851.5800171
0,-9999.990234
19235782,59.13000107
0,-9999.990234
18562636,57.68999863
0,-9999.990234
19665382,60.06000137
0,-9999.990234
18995946,58.68000031
0,-9999.990234
19435710,59.77000046
0,-9999.990234
21719656,64.61000061
0,-9999.990234
24509804,71.84999847
0,-9999.990234
54762656,145.75
0,-9999.990234
55854380,148.2299957
0,-9999.990234
54097540,144.3800049
0,-9999.990234
55111864,146.9199982
0,-9999.990234
67161056,176.1699982
0,-9999.990234
276879392,708.6300049
0,-9999.990234
282101344,721.6199951
0,-9999.990234
273569344,700.4799805
0,-9999.990234
278193120,712.0900269
0,-9999.990234
306508704,782.4899902
0,-9999.990234
333997600,851.6599731
0,-9999.990234
18161286,57.36999893
0,-9999.990234
17597884,56.15000153
0,-9999.990234
18532768,58.18000031
0,-9999.990234
17992588,57.06000137
0,-9999.990234
18440862,58.18999863
0,-9999.990234
20369824,62.29000092
0,-9999.990234
23498944,70.26999664
0,-9999.990234
51549256,139.3300018
0,-9999.990234
50094564,136.0700073
0,-9999.990234
52494268,141.4900055
0,-9999.990234
51061872,138.3500061
0,-9999.990234
52093144,140.9400024
0,-9999.990234
57087092,152.1900024
0,-9999.990234
64190504,170.3899994
0,-9999.990234
260594192,668.3699951
0,-9999.990234
253575696,650.9199829
0,-9999.990234
265112384,679.6199951
0,-9999.990234
258132720,662.2999878
0,-9999.990234
262837664,674.0999756
0,-9999.990234
286859648,733.8400269
0,-9999.990234
319119040,815.0499878
0,-9999.990234
19626246,54.08000183
0,-9999.990234
18918662,52.66999817
0,-9999.990234
20155068,55.38000107
0,-9999.990234
19481930,54.11999893
0,-9999.990234
20096010,55.90999985
0,-9999.990234
22775404,62.20999908
0,-9999.990234
26130974,70.76999664
0,-9999.990234
58543764,139.9499969
0,-9999.990234
56728504,136.4900055
0,-9999.990234
59695040,142.1999969
0,-9999.990234
58216632,142.2299957
0,-9999.990234
59344720,144.8800049
0,-9999.990234
65646948,157.8699951
0,-9999.990234
72725968,175.9499969
0,-9999.990234
305374400,740.789978
0,-9999.990234
296224128,719.1400146
0,-9999.990234
311117408,754.3800049
0,-9999.990234
301923904,734.5499878
0,-9999.990234
307051904,746.75
0,-9999.990234
338208512,820.9799805
0,-9999.990234
368786080,893.9500122
0,-9999.990234
18918662,52.66999817
0,-9999.990234
20155068,55.38000107
0,-9999.990234
19481930,54.11999893
0,-9999.990234
20096010,55.90999985
0,-9999.990234
22775404,62.20999908
0,-9999.990234
26130974,70.76999664
0,-9999.990234
58543764,139.9499969
0,-9999.990234
56728504,136.4900055
0,-9999.990234
59695040,142.1999969
0,-9999.990234
58216632,142.2299957
0,-9999.990234
59344720,144.8800049
0,-9999.990234
65646948,157.8699951
0,-9999.990234
72725968,175.9499969
0,-9999.990234
305374400,740.789978
0,-9999.990234
296224128,719.1400146
0,-9999.990234
311117408,754.3800049
0,-9999.990234
307051904,746.75
0,-9999.990234
338208512,820.9799805
0,-9999.990234
368786080,893.9500122
0,-9999.990234
21379796,61.97999954
0,-9999.990234
21853022,62.97000122
0,-9999.990234
21117216,61.5
0,-9999.990234
21620694,62.70000076
0,-9999.990234
24133630,67.84999847
0,-9999.990234
27268296,75.59999847
0,-9999.990234
60414236,152.8699951
0,-9999.990234
58523228,148.7899933
0,-9999.990234
61610872,155.4900055
0,-9999.990234
59725308,151.6100006
0,-9999.990234
60850652,154.2799988
0,-9999.990234
67295680,168.2200012
0,-9999.990234
74170320,185.2400055
0,-9999.990234
305129088,745.6199951
0,-9999.990234
295970944,723.8499756
0,-9999.990234
310876384,759.2800293
0,-9999.990234
306643808,749.3699951
0,-9999.990234
368339008,896.0700073
0,-9999.990234
22067808,63.25
0,-9999.990234
21312916,61.72000122
0,-9999.990234
22548498,64.23000336
0,-9999.990234
21796000,62.75999832
0,-9999.990234
22282966,63.90000153
0,-9999.990234
24843812,69.01000214
0,-9999.990234
27919102,76.62000275
0,-9999.990234
61439848,154.4499969
0,-9999.990234
59513300,150.3699951
0,-9999.990234
62655624,157.0599976
0,-9999.990234
60695428,152.9900055
0,-9999.990234
61818580,155.6699982
0,-9999.990234
68380616,169.6199951
0,-9999.990234
75185056,186.4499969
0,-9999.990234
307118048,745.8200073
0,-9999.990234
297892544,724.0499878
0,-9999.990234
312901504,759.4799805
0,-9999.990234
303452864,737.25
0,-9999.990234
308576160,749.4500122
0,-9999.990234
339934656,823.4500122
0,-9999.990234
370398848,896.1400146
0,-9999.990234
20840650,61.36999893
0,-9999.990234
20208624,60.08000183
0,-9999.990234
21256284,62.22999954
0,-9999.990234
20648776,61.04000092
0,-9999.990234
21144702,62.22999954
0,-9999.990234
23308522,66.55000305
0,-9999.990234
26764632,74.93000031
0,-9999.990234
57836432,147.6300049
0,-9999.990234
56214872,144.1799927
0,-9999.990234
58888700,149.8999939
0,-9999.990234
57290076,146.5899963
0,-9999.990234
58432104,149.3099976
0,-9999.990234
63996996,161.1799927
0,-9999.990234
71854992,180.3000031
0,-9999.990234
289086016,703.4899902
0,-9999.990234
294090176,715.3099976
0,-9999.990234
286361280,697.1099854
0,-9999.990234
291574528,709.5100098
0,-9999.990234
318178272,772.3099976
0,-9999.990234
353930560,857.6599731
0,-9999.990234
26094520,62.02999878
0,-9999.990234
25209398,60.45000076
0,-9999.990234
26735064,63.43000031
0,-9999.990234
25881414,62.00999832
0,-9999.990234
26620214,64.01999664
0,-9999.990234
29940278,71.01999664
0,-9999.990234
33976048,80.30999756
0,-9999.990234
74048304,157.1799927
0,-9999.990234
71779488,153.3200073
0,-9999.990234
75486328,159.6900024
0,-9999.990234
73592584,159.9100037
0,-9999.990234
74978632,162.8399963
0,-9999.990234
82841544,177.3500061
0,-9999.990234
91504872,197.4600067
0,-9999.990234
376622720,819.7199707
0,-9999.990234
365358304,795.8099976
0,-9999.990234
383692224,834.7299805
0,-9999.990234
372343136,812.789978
0,-9999.990234
378653472,826.2399902
0,-9999.990234
416995328,-9999.990234
0,-9999.990234
454614752,-9999.990234
0,-9999.990234
26094520,62.02999878
0,-9999.990234
25209398,60.45000076
0,-9999.990234
25881414,62.00999832
0,-9999.990234
29940278,71.01999664
0,-9999.990234
33976048,80.30999756
0,-9999.990234
74048304,157.1799927
0,-9999.990234
71779488,153.3200073
0,-9999.990234
75486328,159.6900024
0,-9999.990234
73592584,159.9100037
0,-9999.990234
74978632,162.8399963
0,-9999.990234
82841544,177.3500061
0,-9999.990234
91504872,197.4600067
0,-9999.990234
376622720,819.7199707
0,-9999.990234
365358304,795.8099976
0,-9999.990234
383692224,834.7299805
0,-9999.990234
372343136,812.789978
0,-9999.990234
378653472,826.2399902
0,-9999.990234
416995328,-9999.990234
0,-9999.990234
454614752,-9999.990234
0,-9999.990234
27942470,70.51999664
0,-9999.990234
27012560,68.80999756
0,-9999.990234
28535488,71.62000275
0,-9999.990234
27607682,69.95999908
0,-9999.990234
28224262,71.29000092
0,-9999.990234
31378736,77.01000214
0,-9999.990234
35193072,85.52999878
0,-9999.990234
75964472,171.1799927
0,-9999.990234
73614392,166.6399994
0,-9999.990234
77449400,174.0800018
0,-9999.990234
75096520,169.7599945
0,-9999.990234
76479976,172.7100067
0,-9999.990234
84486256,188.2299957
0,-9999.990234
92897816,206.9199982
0,-9999.990234
375319552,824.4500122
0,-9999.990234
364048768,800.4400024
0,-9999.990234
382392576,839.5200195
0,-9999.990234
370868896,815.0900269
0,-9999.990234
415500032,-9999.990234
0,-9999.990234
453102560,-9999.990234
0,-9999.990234
28798646,71.87000275
0,-9999.990234
27848428,70.18000031
0,-9999.990234
29401868,72.95999908
0,-9999.990234
28449842,71.33000183
0,-9999.990234
29047698,72.58999634
0,-9999.990234
32272452,78.26000214
0,-9999.990234
36017716,86.62999725
0,-9999.990234
77212392,172.8300018
0,-9999.990234
74817408,168.2899933
0,-9999.990234
78721464,175.7400055
0,-9999.990234
76280640,171.1999969
0,-9999.990234
77661296,174.1499939
0,-9999.990234
85815160,189.6799927
0,-9999.990234
94140688,208.1799927
0,-9999.990234
378404320,824.6300049
0,-9999.990234
367063360,800.6199951
0,-9999.990234
385514976,839.7000122
0,-9999.990234
373900352,815.1599731
0,-9999.990234
380205920,828.6199951
0,-9999.990234
418756704,-9999.990234
0,-9999.990234
456257472,-9999.990234
0,-9999.990234
27201420,69.75
0,-9999.990234
26405022,68.31999969
0,-9999.990234
27722646,70.69000244
0,-9999.990234
26952900,69.38999939
0,-9999.990234
27561786,70.69000244
0,-9999.990234
30288248,75.48999786
0,-9999.990234
72686488,165.1499939
0,-9999.990234
70670424,161.3099976
0,-9999.990234
73992368,167.6799927
0,-9999.990234
72000816,163.9799957
0,-9999.990234
73404936,166.9799957
0,-9999.990234
89964928,201.25
0,-9999.990234
356245920,777.9099731
0,-9999.990234
346690816,757.6699829
0,-9999.990234
362398784,790.9500122
0,-9999.990234
352899200,770.8599854
0,-9999.990234
359315328,784.5499878
0,-9999.990234
392021792,853.8200073
0,-9999.990234
436043520,-9999.990234
0,-9999.990234
34265816,70.51000214
0,-9999.990234
33156926,68.76000214
0,-9999.990234
33977184,70.47000122
0,-9999.990234
34870492,72.73000336
0,-9999.990234
38993896,80.43000031
0,-9999.990234
43876420,90.51000214
0,-9999.990234
93479664,175.7299957
0,-9999.990234
90640872,171.4400024
0,-9999.990234
95277824,178.5399933
0,-9999.990234
92850688,178.9700012
0,-9999.990234
94560680,182.1999969
0,-9999.990234
104384872,198.3800049
0,-9999.990234
114976408,220.3999939
0,-9999.990234
463057856,-9999.990234
0,-9999.990234
449146976,878.4699707
0,-9999.990234
471788096,-9999.990234
0,-9999.990234
457738112,897.1199951
0,-9999.990234
465528864,-9999.990234
0,-9999.990234
512865824,-9999.990234
0,-9999.990234
33156926,68.76000214
0,-9999.990234
35052088,72.01999664
0,-9999.990234
33977184,70.47000122
0,-9999.990234
34870492,72.73000336
0,-9999.990234
43876420,90.51000214
0,-9999.990234
93479664,175.7299957
0,-9999.990234
90640872,171.4400024
0,-9999.990234
95277824,178.5399933
0,-9999.990234
92850688,178.9700012
0,-9999.990234
94560680,182.1999969
0,-9999.990234
104384872,198.3800049
0,-9999.990234
114976408,220.3999939
0,-9999.990234
463057856,-9999.990234
0,-9999.990234
449146976,878.4699707
0,-9999.990234
471788096,-9999.990234
0,-9999.990234
457738112,897.1199951
0,-9999.990234
465528864,-9999.990234
0,-9999.990234
512865824,-9999.990234
0,-9999.990234
35033996,77.72000122
0,-9999.990234
36946820,80.83000183
0,-9999.990234
35775720,78.98999786
0,-9999.990234
36533272,80.45999908
0,-9999.990234
40501516,86.80000305
0,-9999.990234
45159936,96.15000153
0,-9999.990234
95407192,190.8699951
0,-9999.990234
92481352,185.8300018
0,-9999.990234
97253552,194.1000061
0,-9999.990234
94313736,189.2899933
0,-9999.990234
96020304,192.5299988
0,-9999.990234
105984480,209.7700043
0,-9999.990234
116338904,230.4100037
0,-9999.990234
451040416,-9999.990234
0,-9999.990234
437124448,883.0300293
0,-9999.990234
445541280,899.1400146
0,-9999.990234
453331680,-9999.990234
0,-9999.990234
500646656,-9999.990234
0,-9999.990234
547071552,-9999.990234
0,-9999.990234
37255932,81.05000305
0,-9999.990234
36058724,79.18000031
0,-9999.990234
38014780,82.26999664
0,-9999.990234
36809612,80.45999908
0,-9999.990234
37546156,81.83999634
0,-9999.990234
41611532,88.12999725
0,-9999.990234
46188768,97.31999969
0,-9999.990234
96891272,192.6000061
0,-9999.990234
93911728,187.5500031
0,-9999.990234
98766512,195.8300018
