"Acronym	",
AADT,Annual Average Daily Traffic
ANOVA,Analysis Of Variance
BCR,Benefit Cost Ratio
Co,Condition
COM,Component Object Model
CSV,Comma Separated Values
Ge,Geometry
HCM,Highway Cost Model 
HDM,Highway Design and Maintenance Model
HDM-4,Highway Development and Management Model
HDM-III,Highway Design and Maintenance  Model
HDM-Sentry,HDM-4 Simplified Entry
IRI,International Roughness Index
IRR,Internal Rate of Return
ISOHDM,International Study of Highway Development and Management
NPV,Net Present Value
OAT,One At a Time Sensitivity Analysis
RAC,Road Agency Costs
RD,Road Deterioration
RUC,Road User Costs 
RUE,Road User Effects 
SEE,Social and Environmental Effects 
Tg,Traffic Growth
Tv,Traffic Volume
UNRA,Uganda National Roads Authority
"WE	",Works Effect
