Run,Run Title,Alternative,NPV,IRR,AVE_IRI,
1 ,T5Run1 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,2
2 ,T5Run2 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,4
3 ,T5Run3 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,6
4 ,T5Run4 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,8
5 ,T5Run5 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,10
6 ,T5Run6 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,12
7 ,T5Run7 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,14
8 ,T5Run8 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,16
9 ,T5Run9 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,18
10 ,T5Run10 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,20
11 ,T5Run11 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,22
12 ,T5Run12 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,24
13 ,T5Run13 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,26
14 ,T5Run14 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,28
15 ,T5Run15 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,30
16 ,T5Run16 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,32
17 ,T5Run17 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,34
18 ,T5Run18 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,36
19 ,T5Run19 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,38
20 ,T5Run20 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,40
21 ,T5Run21 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.909999847,42
22 ,T5Run22 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,44
23 ,T5Run23 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,46
24 ,T5Run24 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,48
25 ,T5Run25 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,50
26 ,T5Run26 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,52
27 ,T5Run27 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,54
28 ,T5Run28 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,56
29 ,T5Run29 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,58
30 ,T5Run30 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,60
31 ,T5Run31 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,62
