Run,TG,Co,Tv,GE,,NPV,IRR,AVE_IRI,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA,NPV DELTA,IRR DELTA,AVE_IRI DELTA
1,1,0,0,0,,-4666723,7.769999981,2.329999924,,,,,,,,,,,,
2,1,0,0,1,,-4032837,8.430000305,2.329999924,633886,0.660000324,0,,,,,,,,,
3,1,0,0,2,,-4352480.5,8.090000153,2.329999924,319643.5,0.340000152,0,,,,,,,,,
4,1,0,0,3,,-3483538.75,8.960000038,2.329999924,868941.75,0.869999885,0,,,,,,,,,
5,1,0,0,4,,-4202983,8.300000191,2.329999924,719444.25,0.659999847,0,,,,,,,,,
6,1,0,0,5,,-4660392,7.75,2.329999924,457409,0.550000191,0,,,,,,,,,
7,1,0,0,6,,-6447347.5,-86.18000031,2.329999924,1786955.5,93.93000031,0,,,,,,,,,
8,1,0,1,0,,57882248,32.06000137,2.369999886,,,,"62,548,971",24,0.04,,,,,,
9,1,0,1,1,,60533832,32.84000015,2.369999886,2651584,0.77999878,0,"64,566,669",24,0.04,,,,,,
10,1,0,1,2,,59049788,32.43999863,2.369999886,1484044,0.40000152,0,"63,402,269",24,0.04,,,,,,
11,1,0,1,3,,62502248,33.47000122,2.369999886,3452460,1.03000259,0,"65,985,787",25,0.04,,,,,,
12,1,0,1,4,,59028648,32.52999878,2.369999886,3473600,0.94000244,0,"63,231,631",24,0.04,,,,,,
13,1,0,1,5,,54923976,32.02000046,2.369999886,4104672,0.50999832,0,"59,584,368",24,0.04,,,,,,
14,1,0,1,6,,45105628,29.59000015,2.369999886,9818348,2.43000031,0,"51,552,976",116,0.04,,,,,,
15,1,0,2,0,,260752464,61.18999863,2.470000029,,,,"202,870,216",29,0.1,,,,,,
16,1,0,2,1,,268792448,63.24000168,2.470000029,8039984,2.05000305,0,"208,258,616",30,0.1,,,,,,
17,1,0,2,2,,264480544,62.15999985,2.470000029,4311904,1.08000183,0,"205,430,756",30,0.1,,,,,,
18,1,0,2,3,,275226304,65.44000244,2.480000019,10745760,3.28000259,0.00999999,"212,724,056",32,0.11,,,,,,
19,1,0,2,4,,263155168,64.19999695,2.480000019,12071136,1.24000549,0,"204,126,520",32,0.11,,,,,,
20,1,0,2,5,,248563072,64.16999817,2.480000019,14592096,0.02999878,0,"193,639,096",32,0.11,,,,,,
21,1,0,2,6,,214266848,60.54999924,2.480000019,34296224,3.61999893,0,"169,161,220",31,0.11,,,,,,
22,1,1,0,0,,-4408647.5,8.06000042,2.329999924,,,,"265,161,112",53,0.14,258076,0,0,,,
23,1,1,0,1,,-3769528.5,8.710000038,2.329999924,639119,0.649999618,0,"272,561,977",55,0.14,263308.5,0,0,,,
24,1,1,0,2,,-4094715.75,8.390000343,2.329999924,325187.25,0.319999695,0,"268,575,260",54,0.14,257764.75,0,0,,,
25,1,1,0,3,,-3222646.25,9.239999771,2.329999924,872069.5,0.849999428,0,"278,448,950",56,0.15,260892.5,0,0,,,
26,1,1,0,4,,-3952253,8.569999695,2.329999924,729606.75,0.670000076,0,"267,107,421",56,0.15,250730,0,0,,,
27,1,1,0,5,,-4440256.5,7.989999771,2.329999924,488003.5,0.579999924,0,"253,003,329",56,0.15,220135.5,0,0,,,
28,1,1,0,6,,-6261197.5,-89.06999969,2.329999924,1820941,97.05999946,0,"220,528,046",150,0.15,186150,3,0,,,
29,1,1,1,0,,63484476,33.56999969,2.369999886,,,,"67,893,124",26,0.04,5602228,2,0,,,
30,1,1,1,1,,66178748,34.34999847,2.369999886,2694272,0.77999878,0,"69,948,277",26,0.04,5644916,2,0,,,
31,1,1,1,2,,64668056,33.93000031,2.369999886,1510692,0.41999816,0,"68,762,772",26,0.04,5618268,1,0,,,
32,1,1,1,3,,68072248,34.97000122,2.369999886,3404192,1.04000091,0,"71,294,894",26,0.04,5570000,2,0,,,
33,1,1,1,4,,64191784,33.95000076,2.369999886,3880464,1.02000046,0,"68,144,037",25,0.04,5163136,1,0,,,
34,1,1,1,5,,59741008,33.45999908,2.369999886,4450776,0.49000168,0,"64,181,265",25,0.04,4817032,1,0,,,
35,1,1,1,6,,49082540,30.87000084,2.369999886,10658468,2.58999824,0,"55,343,738",120,0.04,3976912,1,0,,,
36,1,1,2,0,,287099072,67.51000214,2.470000029,,,,"223,614,596",34,0.1,26346608,6,0,,,
37,1,1,2,1,,295132928,69.76999664,2.470000029,8033856,2.2599945,0,"228,954,180",35,0.1,26340480,7,0,,,
38,1,1,2,2,,290823712,68.61000061,2.470000029,4309216,1.15999603,0,"226,155,656",35,0.1,26343168,6,0,,,
39,1,1,2,3,,300665280,72.12999725,2.470000029,9841568,3.51999664,0,"232,593,032",37,0.1,25438976,7,0.01,,,
40,1,1,2,4,,286152928,70.43000031,2.480000019,14512352,1.69999694,0.00999999,"221,961,144",36,0.11,22997760,6,0,,,
41,1,1,2,5,,269864704,70.37000275,2.480000019,16288224,0.05999756,0,"210,123,696",37,0.11,21301632,6,0,,,
42,1,1,2,6,,231441472,65.83999634,2.480000019,38423232,4.53000641,0,"182,358,932",35,0.11,17174624,5,0,,,
43,1,2,0,0,,33069732,32.02999878,2.880000114,,,,"254,029,340",35,0.41,37478379.5,24,0.55,,,
44,1,2,0,1,,34301376,33,2.880000114,1231644,0.97000122,0,"260,831,552",37,0.41,38070904.5,24,0.55,,,
45,1,2,0,2,,33576992,32.52999878,2.880000114,724384,0.47000122,0,"257,246,720",36,0.41,37671707.75,24,0.55,,,
46,1,2,0,3,,34841096,33.86999893,2.880000114,1264104,1.34000015,0,"265,824,184",38,0.41,38063742.25,25,0.55,,,
47,1,2,0,4,,32164716,32.75999832,2.880000114,2676380,1.11000061,0,"253,988,212",38,0.4,36116969,24,0.55,,,
48,1,2,0,5,,28716990,31.34000015,2.880000114,3447726,1.41999817,0,"241,147,714",39,0.4,33157246.5,23,0.55,,,
49,1,2,0,6,,21872764,27.84000015,2.880000114,6844226,3.5,0,"209,568,708",38,0.4,28133961.5,117,0.55,,,
50,1,2,1,0,,252687152,110.5299988,2.950000048,,,,"219,617,420",79,0.07,189202676,77,0.58,,,
51,1,2,1,1,,256778752,115.4300003,2.950000048,4091600,4.9000015,0,"222,477,376",82,0.07,190600004,81,0.58,,,
52,1,2,1,2,,254237744,113.2300034,2.950000048,2541008,2.1999969,0,"220,660,752",81,0.07,189569688,79,0.58,,,
53,1,2,1,3,,256463840,120.6699982,2.950000048,2226096,7.4399948,0,"221,622,744",87,0.07,188391592,86,0.58,,,
54,1,2,1,4,,240312144,116.7200012,2.950000048,16151696,3.949997,0,"208,147,428",84,0.07,176120360,83,0.58,,,
55,1,2,1,5,,222113792,112.9499969,2.950000048,18198352,3.7700043,0,"193,396,802",82,0.07,162372784,79,0.58,,,
56,1,2,1,6,,184878256,101.1100006,2.950000048,37235536,11.8399963,0,"163,005,492",73,0.07,135795716,70,0.58,,,
57,1,2,2,0,,969801152,299.75,3.079999924,,,,"717,114,000",189,0.13,682702080,232,0.61,,,
58,1,2,2,1,,974543424,314.0700073,3.079999924,4742272,14.3200073,0,"717,764,672",199,0.13,679410496,244,0.61,,,
59,1,2,2,2,,971252864,307.1700134,3.079999924,3290560,6.8999939,0,"717,015,120",194,0.13,680429152,239,0.61,,,
60,1,2,2,3,,960180096,328.9100037,3.079999924,11072768,21.7399903,0,"703,716,256",208,0.13,659514816,257,0.61,,,
61,1,2,2,4,,891360128,318.6700134,3.079999924,68819968,10.2399903,0,"651,047,984",202,0.13,605207200,248,0.6,,,
62,1,2,2,5,,828092032,306.3099976,3.079999924,63268096,12.3600158,0,"605,978,240",193,0.13,558227328,236,0.6,,,
63,1,2,2,6,,688246336,273.2600098,3.079999924,139845696,33.0499878,0,"503,368,080",172,0.13,456804864,207,0.6,,,
64,1,3,0,0,,84853136,63.31999969,3.430000067,,,,"884,948,016",236,0.35,51783404,31,0.55,,,
65,1,3,0,1,,85315352,64.51999664,3.430000067,462216,1.19999695,0,"889,228,072",250,0.35,51013976,32,0.55,,,
66,1,3,0,2,,84865032,63.59999847,3.430000067,450320,0.91999817,0,"886,387,832",244,0.35,51288040,31,0.55,,,
67,1,3,0,3,,83684816,64.69999695,3.430000067,1180216,1.09999848,0,"876,495,280",264,0.35,48843720,31,0.55,,,
68,1,3,0,4,,76819752,62.47999954,3.430000067,6865064,2.21999741,0,"814,540,376",256,0.35,44655036,30,0.55,,,
69,1,3,0,5,,69473464,57.74000168,3.430000067,7346288,4.73999786,0,"758,618,568",249,0.35,40756474,26,0.55,,,
70,1,3,0,6,,54824812,50.61999893,3.430000067,14648652,7.12000275,0,"633,421,524",223,0.35,32952048,23,0.55,,,
71,1,3,1,0,,478717696,265.3699951,3.559999943,,,,"393,864,560",202,0.13,226030544,155,0.61,,,
72,1,3,1,1,,478439200,270.8599854,3.559999943,278496,5.4899903,0,"393,123,848",206,0.13,221660448,155,0.61,,,
73,1,3,1,2,,478129600,266.3800049,3.559999943,309600,4.4799805,0,"393,264,568",203,0.13,223891856,153,0.61,,,
74,1,3,1,3,,467870848,270.9899902,3.559999943,10258752,4.6099853,0,"384,186,032",206,0.13,211407008,150,0.61,,,
75,1,3,1,4,,431582720,261.5499878,3.559999943,36288128,9.4400024,0,"354,762,968",199,0.13,191270576,145,0.61,,,
76,1,3,1,5,,398640896,237.2599945,3.559999943,32941824,24.2899933,0,"329,167,432",180,0.13,176527104,124,0.61,,,
77,1,3,1,6,,326270080,205.3099976,3.559999943,72370816,31.9499969,0,"271,445,268",155,0.13,141391824,104,0.61,,,
78,1,3,2,0,,1459862912,-9999.990234,3.809999943,,,,"981,145,216","10,265",0.25,490061760,10300,0.73,,,
79,1,3,2,1,,1453180160,-9999.990234,3.809999943,6682752,0,0,"974,740,960","10,271",0.25,478636736,10314,0.73,,,
80,1,3,2,2,,1456826496,-9999.990234,3.809999943,3646336,0,0,"978,696,896","10,266",0.25,485573632,10307,0.73,,,
81,1,3,2,3,,1415423872,-9999.990234,3.809999943,41402624,0,0,"947,553,024","10,271",0.25,455243776,10329,0.73,,,
82,1,3,2,4,,1297793408,866.7399902,3.809999943,117630464,10866.73022,0,"866,210,688",605,0.25,406433280,548,0.73,,,
83,1,3,2,5,,1208952960,785.1300049,3.809999943,88840448,81.6099853,0,"810,312,064",548,0.25,380860928,479,0.73,,,
84,1,3,2,6,,989670016,658.9299927,3.809999943,219282944,126.2000122,0,"663,399,936",454,0.25,301423680,386,0.73,,,
85,1,4,0,0,,121515576,102.1299973,3.960000038,,,,"1,338,347,336","10,102",0.15,36662440,39,0.53,,,
86,1,4,0,1,,121055160,102.6399994,3.960000038,460416,0.5100021,0,"1,332,125,000","10,103",0.15,35739808,38,0.53,,,
87,1,4,0,2,,121257616,102.0899963,3.960000038,202456,0.5500031,0,"1,335,568,880","10,102",0.15,36392584,38,0.53,,,
88,1,4,0,3,,117745488,101.2600021,3.960000038,3512128,0.8299942,0,"1,297,678,384","10,101",0.15,34060672,37,0.53,,,
89,1,4,0,4,,106896328,95.80000305,3.960000038,10849160,5.45999905,0,"1,190,897,080",771,0.15,30076576,33,0.53,,,
90,1,4,0,5,,98191088,88.33000183,3.960000038,8705240,7.47000122,0,"1,110,761,872",697,0.15,28717624,31,0.53,,,
