Run Title,Alternative,NPV,IRR,AVE_IRI,
T5Run1 Project Analysis,Reconstruction,560976.5,12.39999962,2.359999895,1
T5Run1 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,2
T5Run2 Project Analysis,Reconstruction,1141293.38,12.77999973,2.359999895,3
T5Run2 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,4
T5Run3 Project Analysis,Reconstruction,814332.13,12.56999969,2.359999895,5
T5Run3 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,6
T5Run4 Project Analysis,Reconstruction,1486802.38,12.98999977,2.359999895,7
T5Run4 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,8
T5Run5 Project Analysis,Reconstruction,578753.63,12.42000008,2.359999895,9
T5Run5 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,10
T5Run6 Project Analysis,Reconstruction,-562326,11.61999989,2.359999895,11
T5Run6 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,12
T5Run7 Project Analysis,Reconstruction,-2980362.5,9.729999542,2.359999895,13
T5Run7 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.559999943,14
T5Run8 Project Analysis,Reconstruction,76539408,33.63999939,2.380000114,15
T5Run8 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,16
T5Run9 Project Analysis,Reconstruction,78783272,34.15000153,2.380000114,17
T5Run9 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,18
T5Run10 Project Analysis,Reconstruction,77481720,33.88999939,2.380000114,19
T5Run10 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,20
T5Run11 Project Analysis,Reconstruction,79755536,34.54000092,2.380000114,21
T5Run11 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,22
T5Run12 Project Analysis,Reconstruction,74988048,33.77000046,2.380000114,23
T5Run12 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,24
T5Run13 Project Analysis,Reconstruction,68704408,32.97999954,2.380000114,25
T5Run13 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,26
T5Run14 Project Analysis,Reconstruction,56401844,30.85000038,2.380000114,27
T5Run14 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.090000153,28
T5Run15 Project Analysis,Reconstruction,197840096,43.43999863,2.460000038,29
T5Run15 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,30
T5Run16 Project Analysis,Reconstruction,201465168,43.93000031,2.460000038,31
T5Run16 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,32
T5Run17 Project Analysis,Reconstruction,199411856,43.70999908,2.460000038,33
T5Run17 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,34
T5Run18 Project Analysis,Reconstruction,201871840,44.29999924,2.460000038,35
T5Run18 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,36
T5Run19 Project Analysis,Reconstruction,189733472,43.47000122,2.460000038,37
T5Run19 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,38
T5Run20 Project Analysis,Reconstruction,176155616,42.74000168,2.460000038,39
T5Run20 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.900000095,40
T5Run21 Project Analysis,Reconstruction,147909088,40.61000061,2.460000038,41
T5Run21 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.909999847,42
T5Run22 Project Analysis,Reconstruction,1717610.88,13.13000011,2.359999895,43
T5Run22 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,44
T5Run23 Project Analysis,Reconstruction,2307964,13.52000046,2.359999895,45
T5Run23 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,46
T5Run24 Project Analysis,Reconstruction,1971280,13.30000019,2.359999895,47
T5Run24 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.679999828,48
T5Run25 Project Analysis,Reconstruction,2641753.25,13.72999954,2.359999895,49
T5Run25 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,50
T5Run26 Project Analysis,Reconstruction,1666661.5,13.10999966,2.359999895,51
T5Run26 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,52
T5Run27 Project Analysis,Reconstruction,434162.75,12.31999969,2.359999895,53
T5Run27 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,54
T5Run28 Project Analysis,Reconstruction,-2151335,10.40999985,2.359999895,55
T5Run28 Project Analysis,Minimum Maintenance (B),0,-9999.990234,5.690000057,56
T5Run29 Project Analysis,Reconstruction,88743288,36.88999939,2.390000105,57
T5Run29 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,58
T5Run30 Project Analysis,Reconstruction,91152512,37.52000046,2.390000105,59
T5Run30 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,60
T5Run31 Project Analysis,Reconstruction,89756856,37.20999908,2.390000105,61
T5Run31 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,62
T5Run32 Project Analysis,Reconstruction,92114680,37.95999908,2.390000105,63
T5Run32 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,64
T5Run33 Project Analysis,Reconstruction,86499640,37.04999924,2.390000105,65
T5Run33 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,66
T5Run34 Project Analysis,Reconstruction,79571848,36.25,2.390000105,67
T5Run34 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,68
T5Run35 Project Analysis,Reconstruction,65604580,33.84000015,2.390000105,69
T5Run35 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.380000114,70
T5Run36 Project Analysis,Reconstruction,272915520,62.18999863,2.480000019,71
T5Run36 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,72
T5Run37 Project Analysis,Reconstruction,277727232,63.43999863,2.480000019,73
T5Run37 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,74
T5Run38 Project Analysis,Reconstruction,275214368,62.88000107,2.480000019,75
T5Run38 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,76
T5Run39 Project Analysis,Reconstruction,278382752,64.43000031,2.480000019,77
T5Run39 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,78
T5Run40 Project Analysis,Reconstruction,261294288,62.52999878,2.480000019,79
T5Run40 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,80
T5Run41 Project Analysis,Reconstruction,244328272,61.81999969,2.480000019,81
T5Run41 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,82
T5Run42 Project Analysis,Reconstruction,206146176,57.81000137,2.480000019,83
T5Run42 Project Analysis,Minimum Maintenance (B),0,-9999.990234,6.619999886,84
