Run Title,Alternative,NPV,IRR,AVE_IRI
T5Run1 Project Analysis,Reconstruction,560976.5,12.399999618530273,2.359999895095825
T5Run1 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run2 Project Analysis,Reconstruction,1141293.38,12.779999732971191,2.359999895095825
T5Run2 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run3 Project Analysis,Reconstruction,814332.13,12.569999694824219,2.359999895095825
T5Run3 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run4 Project Analysis,Reconstruction,1486802.38,12.989999771118164,2.359999895095825
T5Run4 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run5 Project Analysis,Reconstruction,578753.63,12.420000076293945,2.359999895095825
T5Run5 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run6 Project Analysis,Reconstruction,-562326.0,11.619999885559082,2.359999895095825
T5Run6 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run7 Project Analysis,Reconstruction,-2980362.5,9.729999542236328,2.359999895095825
T5Run7 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.559999942779541
T5Run8 Project Analysis,Reconstruction,76539408.0,33.63999938964844,2.380000114440918
T5Run8 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run9 Project Analysis,Reconstruction,78783272.0,34.150001525878906,2.380000114440918
T5Run9 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run10 Project Analysis,Reconstruction,77481720.0,33.88999938964844,2.380000114440918
T5Run10 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run11 Project Analysis,Reconstruction,79755536.0,34.540000915527344,2.380000114440918
T5Run11 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run12 Project Analysis,Reconstruction,74988048.0,33.77000045776367,2.380000114440918
T5Run12 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run13 Project Analysis,Reconstruction,68704408.0,32.97999954223633,2.380000114440918
T5Run13 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run14 Project Analysis,Reconstruction,56401844.0,30.850000381469727,2.380000114440918
T5Run14 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,6.090000152587891
T5Run15 Project Analysis,Reconstruction,197840096.0,43.439998626708984,2.4600000381469727
T5Run15 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.900000095367432
T5Run16 Project Analysis,Reconstruction,201465168.0,43.93000030517578,2.4600000381469727
T5Run16 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.900000095367432
T5Run17 Project Analysis,Reconstruction,199411856.0,43.709999084472656,2.4600000381469727
T5Run17 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.900000095367432
T5Run18 Project Analysis,Reconstruction,201871840.0,44.29999923706055,2.4600000381469727
T5Run18 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.900000095367432
T5Run19 Project Analysis,Reconstruction,189733472.0,43.470001220703125,2.4600000381469727
T5Run19 Project Analysis,Minimum Maintenance (B),0.0,-9999.990234375,5.900000095367432
